Calendar_Year,Calendar_Month,Mode,average_monthly_ridership
2019,1,bus,563028.0
2019,1,rail_boardings,518349.8387096774
2019,2,bus,652809.8571428572
2019,2,rail_boardings,584176.4642857143
2019,3,bus,653778.9354838709
2019,3,rail_boardings,581263.5161290322
2019,4,bus,664562.6666666666
2019,4,rail_boardings,612854.9666666667
2019,5,bus,682092.5161290322
2019,5,rail_boardings,619579.6774193548
2019,6,bus,659809.8
2019,6,rail_boardings,626124.7666666667
2019,7,bus,642061.8387096775
2019,7,rail_boardings,616254.7741935484
2019,8,bus,643248.6451612903
2019,8,rail_boardings,626095.4193548387
2019,9,bus,695255.9666666667
2019,9,rail_boardings,639273.9333333333
2019,10,bus,703238.7096774194
2019,10,rail_boardings,663959.5483870967
2019,11,bus,643480.2666666667
2019,11,rail_boardings,581612.1333333333
2019,12,bus,599792.0645161291
2019,12,rail_boardings,513665.8064516129
2020,1,bus,628464.0967741936
2020,1,rail_boardings,554230.7419354839
2020,2,bus,656210.8620689656
2020,2,rail_boardings,562026.5172413794
2020,3,bus,430343.7419354839
2020,3,rail_boardings,315950.4516129032
2020,4,bus,195055.06666666668
2020,4,rail_boardings,75553.66666666667
2020,5,bus,220091.90322580645
2020,5,rail_boardings,72099.29032258065
2020,6,bus,244389.7
2020,6,rail_boardings,98504.5
2020,7,bus,277691.1935483871
2020,7,rail_boardings,137260.03225806452
2020,8,bus,275514.03225806454
2020,8,rail_boardings,137437.35483870967
2020,9,bus,286440.4666666667
2020,9,rail_boardings,151890.63333333333
2020,10,bus,286671.0967741936
2020,10,rail_boardings,153237.0
2020,11,bus,249798.06666666668
2020,11,rail_boardings,127163.46666666666
2020,12,bus,240878.96774193548
2020,12,rail_boardings,118744.29032258065
2021,1,bus,230863.93548387097
2021,1,rail_boardings,117060.03225806452
2021,2,bus,243111.10714285713
2021,2,rail_boardings,130435.03571428571
2021,3,bus,286049.96774193546
2021,3,rail_boardings,152501.48387096773
2021,4,bus,295486.0
2021,4,rail_boardings,166803.2
2021,5,bus,296700.8387096774
2021,5,rail_boardings,184667.90322580645
2021,6,bus,328157.0333333333
2021,6,rail_boardings,225286.33333333334
2021,7,bus,342101.0967741936
2021,7,rail_boardings,257660.1935483871
2021,8,bus,353215.51612903224
2021,8,rail_boardings,260038.5483870968
2021,9,bus,401958.8333333333
2021,9,rail_boardings,299608.36666666664
2021,10,bus,384052.5483870968
2021,10,rail_boardings,291266.9032258064
2021,11,bus,364130.86666666664
2021,11,rail_boardings,267356.2
2021,12,bus,328255.7419354839
2021,12,rail_boardings,227103.12903225806
2022,1,bus,277631.77419354836
2022,1,rail_boardings,184842.93548387097
2022,2,bus,345886.6785714286
2022,2,rail_boardings,234981.10714285713
2022,3,bus,389742.8064516129
2022,3,rail_boardings,272244.22580645164
2022,4,bus,382686.93333333335
2022,4,rail_boardings,277309.06666666665
2022,5,bus,395293.0
2022,5,rail_boardings,287868.6129032258
2022,6,bus,399839.4
2022,6,rail_boardings,313611.3
2022,7,bus,372723.51612903224
2022,7,rail_boardings,301633.03225806454
2022,8,bus,407800.7419354839
2022,8,rail_boardings,311273.8387096774
2022,9,bus,442211.63333333336
2022,9,rail_boardings,340008.6666666667
2022,10,bus,429049.5483870968
2022,10,rail_boardings,331476.12903225806
2022,11,bus,401847.1666666667
2022,11,rail_boardings,295974.1666666667
2022,12,bus,357809.29032258067
2022,12,rail_boardings,250606.09677419355
2023,1,bus,377474.70967741933
2023,1,rail_boardings,263533.4193548387
2023,2,bus,414453.03571428574
2023,2,rail_boardings,277203.9285714286
2023,3,bus,435634.9032258064
2023,3,rail_boardings,302765.3548387097
2023,4,bus,426814.5333333333
2023,4,rail_boardings,306099.5
2023,5,bus,455706.48387096776
2023,5,rail_boardings,327648.12903225806
2023,6,bus,439543.5
2023,6,rail_boardings,346814.8333333333
2023,7,bus,419327.1612903226
2023,7,rail_boardings,323235.96774193546
2023,8,bus,468669.0967741936
2023,8,rail_boardings,358437.7419354839
2023,9,bus,493214.23333333334
2023,9,rail_boardings,368564.43333333335
2023,10,bus,491693.1935483871
2023,10,rail_boardings,371285.29032258067
2023,11,bus,463167.73333333334
2023,11,rail_boardings,330680.8
2023,12,bus,429316.1612903226
2023,12,rail_boardings,282792.2580645161
2024,1,bus,415582.7419354839
2024,1,rail_boardings,275880.0967741936
2024,2,bus,496843.9655172414
2024,2,rail_boardings,320690.3103448276
2024,3,bus,477227.48387096776
2024,3,rail_boardings,326046.4193548387
2024,4,bus,520507.0333333333
2024,4,rail_boardings,348611.3
2024,5,bus,527987.1290322581
2024,5,rail_boardings,365498.0967741936
2024,6,bus,491425.63333333336
2024,6,rail_boardings,364289.0333333333
2024,7,bus,493770.4516129032
2024,7,rail_boardings,363863.1612903226
2024,8,bus,501116.12903225806
2024,8,rail_boardings,378861.06451612903
2024,9,bus,538703.0666666667
2024,9,rail_boardings,388865.9
2024,10,bus,564973.8709677419
2024,10,rail_boardings,407447.5806451613
2024,11,bus,490009.93333333335
2024,11,rail_boardings,343753.1666666667
2024,12,bus,442109.29032258067
2024,12,rail_boardings,295236.0967741936
2025,1,bus,443943.77419354836
2025,1,rail_boardings,295232.1612903226
2025,2,bus,490197.3214285714
2025,2,rail_boardings,313621.71428571426
2025,3,bus,502098.4193548387
2025,3,rail_boardings,344146.77419354836
2025,4,bus,542728.6333333333
