route,routename,month_beginning,avg_weekday_rides,avg_saturday_rides,avg_sunday_holiday_rides,monthtotal
1,Indiana/Hyde Park,2001-01-01,6982.6,0.0,0.0,153617
1,Indiana/Hyde Park,2001-02-01,7401.4,0.0,0.0,148028
1,Indiana/Hyde Park,2001-03-01,7571.8,0.0,0.0,166579
1,Indiana/Hyde Park,2001-04-01,6875.1,0.0,0.0,144377
2,Hyde Park Express,2001-01-01,1000.0,0.0,0.0,22001
2,Hyde Park Express,2001-02-01,976.8,0.0,0.0,19535
2,Hyde Park Express,2001-03-01,862.0,0.0,0.0,18964
2,Hyde Park Express,2001-04-01,809.2,0.0,0.0,16993
3,King Drive,2001-01-01,21406.5,13210.7,8725.3,567413
3,King Drive,2001-02-01,23226.0,14743.0,10136.2,564037
3,King Drive,2001-03-01,23081.6,14786.6,8979.5,617646
3,King Drive,2001-04-01,21917.1,15266.7,9533.3,568992
4,Cottage Grove,2001-01-01,22432.2,17994.0,10662.2,618796
4,Cottage Grove,2001-02-01,23907.9,17637.0,11797.6,595896
4,Cottage Grove,2001-03-01,24463.9,19493.7,11761.6,682721
4,Cottage Grove,2001-04-01,24309.3,18608.4,11762.3,643740
6,Jackson Park Express,2001-01-01,18443.0,13088.2,7165.6,493926
6,Jackson Park Express,2001-02-01,19337.2,12335.8,7917.8,467758
6,Jackson Park Express,2001-03-01,19086.8,12859.5,7180.5,512929
6,Jackson Park Express,2001-04-01,18238.5,12655.7,7509.4,471177
7,Harrison,2001-01-01,5504.4,0.0,0.0,121097
7,Harrison,2001-02-01,5684.4,0.0,0.0,113688
7,Harrison,2001-03-01,5729.1,0.0,0.0,126040
7,Harrison,2001-04-01,5292.7,0.0,0.0,111146
8,Halsted,2001-01-01,19582.2,12420.0,8280.8,521892
8,Halsted,2001-02-01,20741.7,12528.9,9279.6,502067
8,Halsted,2001-03-01,20442.8,13256.7,9257.3,553054
8,Halsted,2001-04-01,19911.5,13060.0,9281.7,516791
8A,South Halsted,2001-01-01,3196.5,3006.6,1336.2,89030
8A,South Halsted,2001-02-01,3296.3,2786.2,1535.4,83212
8A,South Halsted,2001-03-01,3286.8,2914.5,1586.4,93228
8A,South Halsted,2001-04-01,3170.6,2962.7,1721.4,87040
9,Ashland,2001-01-01,29265.4,22621.7,15336.1,811006
9,Ashland,2001-02-01,31183.8,23385.3,16717.4,784087
9,Ashland,2001-03-01,31563.9,23909.9,16119.4,878433
9,Ashland,2001-04-01,31136.2,24477.5,16494.1,834240
10,Museum of S & I,2001-01-01,0.0,562.6,372.9,4115
10,Museum of S & I,2001-02-01,0.0,633.7,470.3,4416
10,Museum of S & I,2001-03-01,0.0,974.8,534.1,7010
10,Museum of S & I,2001-04-01,0.0,926.8,441.1,5913
11,Lincoln/Sedgwick,2001-01-01,3448.7,1667.3,869.5,86887
11,Lincoln/Sedgwick,2001-02-01,3606.1,1661.2,969.2,82644
11,Lincoln/Sedgwick,2001-03-01,3725.6,1875.1,1088.1,95692
11,Lincoln/Sedgwick,2001-04-01,3794.3,1926.0,1211.3,93440
12,Roosevelt,2001-01-01,10763.5,6950.6,4691.0,288055
12,Roosevelt,2001-02-01,11000.4,6809.7,5125.9,267751
12,Roosevelt,2001-03-01,11387.9,7384.8,5398.4,309052
12,Roosevelt,2001-04-01,10568.6,7308.0,5694.7,279647
14,Jeffery Express,2001-01-01,8484.3,0.0,0.0,186655
14,Jeffery Express,2001-02-01,9048.2,0.0,0.0,180965
14,Jeffery Express,2001-03-01,9540.6,0.0,0.0,209894
14,Jeffery Express,2001-04-01,9725.6,0.0,0.0,204237
17,Westchester,2001-01-01,514.5,0.0,0.0,11319
17,Westchester,2001-02-01,531.9,0.0,0.0,10638
17,Westchester,2001-03-01,578.0,0.0,0.0,12716
17,Westchester,2001-04-01,648.9,0.0,0.0,13626
18,16th/18th,2001-01-01,1923.8,898.5,642.3,49130
18,16th/18th,2001-02-01,2075.4,896.8,618.7,47570
18,16th/18th,2001-03-01,1717.8,979.8,710.8,45533
18,16th/18th,2001-04-01,1685.9,1003.6,732.2,43079
19,United Center Express,2001-01-01,322.0,327.1,368.4,6273
19,United Center Express,2001-02-01,295.5,331.3,286.1,6903
19,United Center Express,2001-03-01,983.3,2112.2,644.9,22537
19,United Center Express,2001-04-01,466.2,860.7,305.9,4109
20,Madison,2001-01-01,21570.3,12804.3,8184.0,566683
20,Madison,2001-02-01,23086.4,13594.9,8935.2,551849
20,Madison,2001-03-01,22559.6,14278.0,8496.7,601687
20,Madison,2001-04-01,21244.5,13722.4,9045.4,546252
21,Cermak,2001-01-01,7423.7,7747.2,4781.0,218216
21,Cermak,2001-02-01,7910.0,7563.8,5991.4,212421
21,Cermak,2001-03-01,7861.8,8240.3,5852.5,237571
21,Cermak,2001-04-01,7623.9,8625.0,6465.1,226926
X21,Cermak Express,2001-01-01,0.0,1177.9,855.9,8991
X21,Cermak Express,2001-02-01,0.0,1559.9,1100.0,10639
X21,Cermak Express,2001-03-01,0.0,1174.0,511.2,7915
X21,Cermak Express,2001-04-01,0.0,711.7,317.1,3721
22,Clark,2001-01-01,21206.2,14634.5,10462.2,577386
22,Clark,2001-02-01,21849.7,14712.5,11108.6,540279
22,Clark,2001-03-01,22534.9,15977.9,11678.0,622370
22,Clark,2001-04-01,22428.9,16670.5,11831.8,596848
24,Wentworth,2001-01-01,3893.4,0.0,0.0,85655
24,Wentworth,2001-02-01,4403.2,0.0,0.0,88063
24,Wentworth,2001-03-01,4669.2,0.0,0.0,102721
24,Wentworth,2001-04-01,4317.6,0.0,0.0,90671
25,West Cermak,2001-01-01,144.8,0.0,0.0,3186
25,West Cermak,2001-02-01,222.9,0.0,0.0,4458
25,West Cermak,2001-03-01,274.5,0.0,0.0,6040
25,West Cermak,2001-04-01,476.1,0.0,0.0,9999
27,South Deering,2001-01-01,5629.5,2984.1,2423.6,147904
27,South Deering,2001-02-01,5805.5,3309.5,2486.8,139294
27,South Deering,2001-03-01,6091.2,3486.8,2549.1,161636
27,South Deering,2001-04-01,5650.2,3771.7,2458.6,146033
28,Stony Island,2001-01-01,11964.9,11269.6,5587.8,336246
28,Stony Island,2001-02-01,12843.1,10029.1,5978.7,320893
28,Stony Island,2001-03-01,13173.1,10381.4,6018.0,365786
28,Stony Island,2001-04-01,12183.6,9465.0,5794.3,322687
