route,date,day_type,rides
3,2001-01-01,U,7354
3,2001-01-02,W,16697
3,2001-01-03,W,18195
3,2001-01-04,W,19424
3,2001-01-05,W,21221
4,2001-01-01,U,9288
4,2001-01-02,W,19000
4,2001-01-03,W,18853
4,2001-01-04,W,21081
4,2001-01-05,W,21679
6,2001-01-01,U,6048
6,2001-01-02,W,15904
6,2001-01-03,W,14542
6,2001-01-04,W,16796
6,2001-01-05,W,16543
8,2001-01-01,U,6309
8,2001-01-02,W,14915
8,2001-01-03,W,16893
8,2001-01-04,W,17928
8,2001-01-05,W,17872
9,2001-01-01,U,11207
9,2001-01-02,W,24797
9,2001-01-03,W,25393
9,2001-01-04,W,26970
9,2001-01-05,W,27956
10,2001-01-01,U,385
11,2001-01-01,U,610
11,2001-01-02,W,3140
11,2001-01-03,W,3215
11,2001-01-04,W,3188
11,2001-01-05,W,2980
12,2001-01-01,U,3678
12,2001-01-02,W,8605
12,2001-01-03,W,9220
12,2001-01-04,W,9364
12,2001-01-05,W,10139
18,2001-01-01,U,375
18,2001-01-02,W,1523
18,2001-01-03,W,2506
18,2001-01-04,W,2138
18,2001-01-05,W,1201
20,2001-01-01,U,7096
20,2001-01-02,W,17914
20,2001-01-03,W,21184
20,2001-01-04,W,21221
20,2001-01-05,W,20573
21,2001-01-01,U,3454
21,2001-01-02,W,6535
21,2001-01-03,W,7337
21,2001-01-04,W,6755
21,2001-01-05,W,6297
22,2001-01-01,U,7877
22,2001-01-02,W,19558
22,2001-01-03,W,19286
22,2001-01-04,W,20265
22,2001-01-05,W,20680
27,2001-01-01,U,1903
27,2001-01-02,W,3803
27,2001-01-03,W,5144
27,2001-01-04,W,5011
27,2001-01-05,W,5517
28,2001-01-01,U,5462
28,2001-01-02,W,9121
28,2001-01-03,W,9845
28,2001-01-04,W,10676
28,2001-01-05,W,10856
29,2001-01-01,U,9303
29,2001-01-02,W,13997
29,2001-01-03,W,15243
29,2001-01-04,W,14369
29,2001-01-05,W,16656
30,2001-01-01,U,600
30,2001-01-02,W,2686
30,2001-01-03,W,2971
30,2001-01-04,W,3391
30,2001-01-05,W,3052
34,2001-01-01,U,3541
34,2001-01-02,W,5089
34,2001-01-03,W,7089
34,2001-01-04,W,6445
34,2001-01-05,W,7909
35,2001-01-01,U,1526
35,2001-01-02,W,4923
35,2001-01-03,W,5261
35,2001-01-04,W,5497
35,2001-01-05,W,5436
36,2001-01-01,U,7044
36,2001-01-02,W,13977
36,2001-01-03,W,14130
36,2001-01-04,W,15147
36,2001-01-05,W,15896
43,2001-01-01,U,311
43,2001-01-02,W,956
43,2001-01-03,W,1124
43,2001-01-04,W,1260
43,2001-01-05,W,1214
44,2001-01-01,U,1463
44,2001-01-02,W,4912
44,2001-01-03,W,5085
44,2001-01-04,W,5670
47,2001-01-01,U,2676
47,2001-01-02,W,6834
47,2001-01-03,W,7823
47,2001-01-04,W,8254
49,2001-01-01,U,11829
49,2001-01-02,W,19361
49,2001-01-03,W,19796
49,2001-01-04,W,21114
50,2001-01-01,U,1832
50,2001-01-02,W,6487
50,2001-01-03,W,7747
50,2001-01-04,W,7496
51,2001-01-01,U,1752
51,2001-01-02,W,3440
51,2001-01-03,W,3548
51,2001-01-04,W,4177
52,2001-01-01,U,4061
52,2001-01-02,W,9613
52,2001-01-03,W,9684
52,2001-01-04,W,11179
53,2001-01-01,U,8058
53,2001-01-02,W,18510
53,2001-01-03,W,19299
53,2001-01-04,W,18968
54,2001-01-01,U,4675
54,2001-01-02,W,10046
54,2001-01-03,W,10401
54,2001-01-04,W,11569
55,2001-01-01,U,5805
55,2001-01-02,W,10984
55,2001-01-03,W,10791
55,2001-01-04,W,12428
56,2001-01-01,U,5461
56,2001-01-02,W,13157
56,2001-01-03,W,14144
56,2001-01-04,W,13516
57,2001-01-01,U,541
57,2001-01-02,W,2213
57,2001-01-03,W,2424
57,2001-01-04,W,3413
60,2001-01-01,U,4803
60,2001-01-02,W,12751
60,2001-01-03,W,12039
60,2001-01-04,W,13032
62,2001-01-01,U,4355
62,2001-01-02,W,11218
62,2001-01-03,W,13066
62,2001-01-04,W,14352
63,2001-01-01,U,8995
63,2001-01-02,W,17764
63,2001-01-03,W,19117
63,2001-01-04,W,19379
65,2001-01-01,U,1571
65,2001-01-02,W,6524
65,2001-01-03,W,6063
65,2001-01-04,W,6212
66,2001-01-01,U,7900
66,2001-01-02,W,17345
